0,title,url,stage,date,start_time,end_time
211,BEATBOX COLLECTIVE,https://www.thebeatboxcollective.com/,BIMBLE INN,24/06/2023,21:30,23:00
212,BEATBOX COLLECTIVE,https://www.facebook.com/thebeatboxcollective,GLADE DOME,24/06/2023,20:50,21:15
213,BEATLES DUB CLUB,https://www.instagram.com/beatlesdubclub,GREENPEACE,24/06/2023,18:00,18:55
214,BEAUTIFUL LANDING,https://www.youtube.com/@beautifullanding/,THE RABBIT HOLE,22/06/2023,17:00,18:00
215,BECKY HILL,https://www.beckyhill.com/,OTHER STAGE,25/06/2023,18:00,19:00
216,BELLA UNWIN,https://www.instagram.com/bellaunwin,THE HIVE,22/06/2023,21:25,21:55
217,BELLAH,,THE LONELY HEARTS CLUB,23/06/2023,18:00,18:45
218,BELVEDERE TOWN CATS,,THE HIVE,23/06/2023,10:00,11:00
219,BEN ATKINS,,THE RUM SHACK,24/06/2023,23:00,00:00
220,BEN BÖHMER,,THE LONELY HEARTS CLUB,24/06/2023,21:00,22:30
221,BEN HOWARD,https://www.benhowardmusic.co.uk/,OTHER STAGE,23/06/2023,11:30,12:30
222,BEN LOADER,,OUTSIDE CIRCUS STAGE,23/06/2023,18:40,18:48
223,BEN LOADER,,OUTSIDE CIRCUS STAGE,23/06/2023,16:08,16:14
224,BEN LOADER,,OUTSIDE CIRCUS STAGE,24/06/2023,00:50,00:56
225,BEN LOADER,,OUTSIDE CIRCUS STAGE,24/06/2023,00:00,00:06
226,BEN LOADER,,OUTSIDE CIRCUS STAGE,25/06/2023,00:03,00:09
227,BEN LOADER,,OUTSIDE CIRCUS STAGE,25/06/2023,20:13,20:19
228,BEN MONK & FRIENDS,,THE MEETING PLACE BAR,22/06/2023,17:00,21:00
229,BEN PEST,https://www.instagram.com/benpest/,THE TEMPLE,23/06/2023,23:00,00:00
230,BEN RANDM,,THE HIVE,24/06/2023,10:00,10:30
231,BEN UFO,https://ra.co/dj/benufo,GENOSYS SOUND SYSTEM,24/06/2023,02:30,04:30
232,BEN VIRGO B2B CHRIS THORNE,,GREENPEACE,25/06/2023,17:40,18:55
233,BENEFITS,https://www.benefitstheband.com,LEFT FIELD,23/06/2023,19:30,20:30
234,BENJI B,https://www.instagram.com/benjib/,PLATFORM 23,23/06/2023,05:00,06:00
235,BENJI CLEMENTS (BLENDID TAKEOVER),https://www.facebook.com/benjiclementsmusic/,CORNISH ARMS,23/06/2023,21:00,21:45
236,BENJI CLEMENTS,https://youtu.be/f9by7yn9ayy,MANDALA STAGE,25/06/2023,00:00,01:00
237,BENNY HUSTLE: SUPPER CLUB TAKEOVER,https://www.instagram.com/supperclubbristol/,BABYLON UPRISING,24/06/2023,15:00,16:00
238,BETH ORTON,https://bethortonofficial.com/,WEST HOLTS STAGE,25/06/2023,12:30,13:30
239,BETHANY HUMPHRIES,,THE HIVE,23/06/2023,13:05,13:45
240,BEXI,https://www.rebeccarennison.com/,OUTSIDE CIRCUS STAGE,23/06/2023,00:50,00:56
241,BEXI,https://www.rebeccarennison.com/,OUTSIDE CIRCUS STAGE,23/06/2023,00:02,00:08
242,BEXI,https://www.rebeccarennison.com/,OUTSIDE CIRCUS STAGE,24/06/2023,18:35,18:41
243,BEXI,https://www.rebeccarennison.com/,OUTSIDE CIRCUS STAGE,24/06/2023,16:08,16:14
